date,mc,sub,kfc
2016-06-12,44,6,18
2016-06-19,51,4,20
2016-06-26,51,6,22
2016-07-03,100,10,36
2016-07-10,72,8,28
2016-07-17,51,5,21
2016-07-24,45,6,19
2016-07-31,68,5,32
2016-08-07,52,5,21
2016-08-14,51,10,25
2016-08-21,62,3,22
2016-08-28,53,4,29
2016-09-04,58,4,24
2016-09-11,77,8,30
2016-09-18,65,4,20
2016-09-25,42,9,19
2016-10-02,52,7,19
2016-10-09,53,2,14
2016-10-16,45,3,13
2016-10-23,46,3,15
2016-10-30,41,4,18
2016-11-06,52,3,15
2016-11-13,51,2,24
2016-11-20,53,2,28
2016-11-27,47,1,23
2016-12-04,41,4,23
2016-12-11,60,2,17
2016-12-18,51,5,20
2016-12-25,47,5,25
2017-01-01,51,1,26
2017-01-08,55,2,25
2017-01-15,57,5,26
2017-01-22,48,7,28
2017-01-29,42,5,20
2017-02-05,40,4,18
2017-02-12,74,3,26
2017-02-19,63,3,25
2017-02-26,53,2,17
2017-03-05,43,4,13
2017-03-12,40,3,19
2017-03-19,46,2,22
2017-03-26,49,6,13
2017-04-02,53,1,14
2017-04-09,46,2,18
2017-04-16,47,2,24
2017-04-23,44,4,28
2017-04-30,61,3,26
2017-05-07,56,3,26
2017-05-14,56,1,26
2017-05-21,48,3,25
2017-05-28,40,6,20
2017-06-04,52,2,27
