Region,Value
Gharbia Governorate,100
Qalyubia Governorate,75
Giza Governorate,63
Alexandria Governorate,61
Cairo Governorate,58
Dakahlia Governorate,52
Sohag Governorate,24
El Beheira Governorate,22
Monufia Governorate,22
Ash Sharqia Governorate,19
