Region,Value
Gharbia Governorate,100
Giza Governorate,79
Cairo Governorate,79
Monufia Governorate,76
El Beheira Governorate,75
Alexandria Governorate,73
Qalyubia Governorate,66
Dakahlia Governorate,65
Ash Sharqia Governorate,41
Sohag Governorate,34
